DATE,TIME,AGE,SEX,RACE,GEOCODE_OVERRIDE,DISTRICT_NUM,DISTRICT_NAME,NEIGHBORHOOD_NAME,COMMUNITY_NAME,LINK,MURDER,PUB_CAUSE,LAT,LNG,IS_MURDER,IS_FATAL,HOUR,HOUR_HH,MINUTES_MM,ID
2013-01-01,16:56,19,M,B,"(41.787502,-87.698143)",008,Chicago Lawn,Gage Park,Gage Park,"http://www.chicagotribune.com/news/local/breaking/chi-humboldt-park-shooting-leaves-2-hospitalized-20130101,0,6730065.story",Yes,Shot,41.787502,-87.698143,1,1,16:56:00,16,56,0
2013-01-07,13:45,17,M,B,"(41.7579730600119,-87.5627524405718)",004,South Chicago,South Shore,South Shore,"http://www.chicagotribune.com/news/local/breaking/chi-union-man-suspected-of-carjacking-shot-after-pointing-object-at-police-20130107,0,2042927.story",No,Shot,41.7579730600119,-87.5627524405718,0,1,13:45:00,13,45,1
2013-01-08,18:15,31,M,B,"(41.9063320755959,-87.6384826004505)",018,Near North,Old Town,Near North Side,"http://www.chicagotribune.com/news/local/breaking/chi-chicago-shooting-violence-jan-89-2-shot-on-sw-side-20130108,0,3083670.story",Yes,Shot,41.9063320755959,-87.6384826004505,1,1,18:15:00,18,15,2
2013-01-26,17:00,16,M,B,"(41.87453079223633, -87.73259735107422)",11,Harrison,West Garfield Park,West Garfield Park,"http://www.chicagotribune.com/news/local/breaking/chi-boy-16-and-man-32-gunned-down-on-west-side-street-20130126,0,3833533.story",Yes,Shot,41.87453079223633, -87.73259735107422,1,1,17:00:00,17,0,3
2013-03-24,,44,F,,"(41.745479,-87.611984)",006,Gresham,Chatham,Chatham,,Yes,Stabbing,41.745479,-87.611984,1,1,,-1,-1,4
2015-11-26,13:20,23,M,,"(41.99511721730232, -87.68506787717342)",24,Rogers Park,West Rogers Park,West Ridge,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20151126-story.html,,,41.99511721730232, -87.68506787717342,0,1,13:20:00,13,20,5
2015-11-27,01:20,31,M,,"(41.75300158560276, -87.60407656431198)",6,Gresham,Grand Crossing,Greater Grand Crossing,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20151126-story.html,,,41.75300158560276, -87.60407656431198,0,1,01:20:00,1,20,6
2016-06-04,,32,M,B,"(41.778312, -87.669929)",7,Englewood,West Englewood,West Englewood,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20160603-story.html,Yes,Shot,41.778312, -87.669929,1,1,,-1,-1,7
2016-06-08,13:40,34,M,B,"(41.89190246164799, -87.71040000021458)",11,Harrison,East Garfield Park,Humboldt Park,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20160608-story.html,Yes,Shot,41.89190246164799, -87.71040000021458,1,1,13:40:00,13,40,8
2016-06-10,20:45,26,M,B,"(41.794610023498535, -87.63023413717747)",2,Wentworth,The Robert Taylor Homes,Fuller Park,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20160610-story.html,Yes,Shot,41.794610023498535, -87.63023413717747,1,1,20:45:00,20,45,9
2016-08-26,18:12,35,M,B,"(41.91014099121094, -87.77732849121094)",25,Grand Central,Galewood,Austin,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20160826-story.html,Yes,Shot,41.91014099121094, -87.77732849121094,1,1,18:12:00,18,12,10
2016-12-19,19:37,58,M,B,"(41.81571766734123, -87.60185100138187)",2,Wentworth,North Kenwood,Kenwood,http://www.chicagotribune.com/news/local/breaking/ct-20161219-story.html,,,41.81571766734123, -87.60185100138187,0,1,19:37:00,19,37,11
2013-01-05,07:00,25,M,W,"(41.908554,-87.692932)",014,Shakespeare,Humboldt Park,West Town,"http://www.chicagotribune.com/news/local/breaking/chi-chicago-crime-shooting-humboldt-park,0,5987186.story",Yes,Shot,41.908554,-87.692932,1,1,07:00:00,7,0,12
2013-01-15,09:23,51,M,B,"(41.863662,-87.708892)",010,Ogden,Lawndale,North Lawndale,"http://www.chicagotribune.com/news/local/breaking/chi-man-dies-after-drug-deal-goes-bad-20130115,0,7376525.story",Yes,Shot,41.863662,-87.708892,1,1,09:23:00,9,23,13
2013-02-24,07:30,31,M,W,"(41.8790379166603,-87.745281457901)",015,Austin,South Austin,Austin,http://articles.chicagotribune.com/2013-02-24/news/chi-chicago-crime-shooting-murder-austin_1_cicero-man-shot-west-23rd-place-south-austin-neighborhood,Yes,Shot,41.8790379166603,-87.745281457901,1,1,07:30:00,7,30,14
2013-01-16,22:35,35,F,W(H),"(41.969047,-87.738815)",017,Albany Park,North Mayfair,Albany Park,"http://www.chicagotribune.com/news/local/breaking/chi-death-of-woman-in-northwest-side-fire-ruled-a-homicide-20130118,0,619677.story",Yes,Fire,41.969047,-87.738815,1,1,22:35:00,22,35,15
2013-01-18,21:10,21,M,B,"(41.909709,-87.763191)",025,Grand Central,North Austin,Austin,"http://www.chicagotribune.com/news/local/breaking/chi-chicago-violence-shootings-jan-1819-2-fatally-shot-20130118,0,3298679.story",Yes,Shot,41.909709,-87.763191,1,1,21:10:00,21,10,16
2013-01-29,08:00,20,M,,"(41.695892,-87.542907)",004,South Chicago,East Side,East Side,"http://www.chicagotribune.com/news/local/breaking/chi-man-20-shot-in-east-side20130129,0,5899395.story",Yes,Shot,41.695892,-87.542907,1,1,08:00:00,8,0,17
2013-02-01,04:20,32,F,B,"(41.851737,-87.611488)",001,Central,,Near South Side,"http://www.chicagotribune.com/news/local/breaking/chi-woman-shot-on-lake-shore-drive-ramp-20130201,0,1471406.story",Yes,Shot,41.851737,-87.611488,1,1,04:20:00,4,20,18
2013-03-02,03:30,72,M,B,"(41.722236,-87.612007)",006,Burnside,Burnside,Roseland,"http://www.chicagotribune.com/news/local/breaking/chi-homicide-burnside-neighborhood-20130302,0,1431436.story",Yes,Shot,41.722236,-87.612007,1,1,03:30:00,3,30,19
2013-03-28,15:30,22,M,B,"(41.753234,-87.650512)",006,Gresham,Gresham,Auburn Gresham,"http://www.chicagotribune.com/news/local/breaking/chi-man-shot-dead-on-south-side-20130328,0,2683459.story",Yes,Shot,41.753234,-87.650512,1,1,15:30:00,15,30,20
2013-07-04,12:19,36,M,B,"(41.760746,-87.623664)",003,Grand Crossing,Park Manor,Park Manor,"http://www.chicagotribune.com/news/local/breaking/chi-man-wounded-in-south-side-shooting-20130704,0,3358230.story",Yes,Shot,41.760746,-87.623664,1,1,12:19:00,12,19,21
2013-07-05,10:30,64,F,B,"(41.697608,-87.615066)",005,Calumet,Roseland,Roseland,"http://www.chicagotribune.com/news/local/breaking/chi-woman-found-dead-in-roseland-home-20130705,0,3081107.story",,Stabbing,41.697608,-87.615066,0,1,10:30:00,10,30,22
2013-02-20,17:35,24,F,B,"(41.747425,-87.6035)",006,Gresham,East Chatham,Chatham,"http://www.chicagotribune.com/news/local/breaking/chi-bodies-found-following-east-chatham-blaze-20130220,0,6778447.story",Yes,Stabbing,41.747425,-87.6035,1,1,17:35:00,17,35,23
2014-09-01,2:50,22,M,W(H),"(41.844791,-87.731979)",10,Ogden,Little Village,South Lawndale,http://www.chicagotribune.com/news/local/breaking/chi-man-woman-shot-in-rogers-park-neighborhood-20140831-story.html,,,41.844791,-87.731979,0,1,02:50:00,2,50,24
2014-09-06,3:00,64,M,,"(41.860267,-87.71733)",10,Ogden,Lawndale,North Lawndale,http://www.chicagotribune.com/news/local/breaking/chi-chicago-shootings-violence-20140905-story.html,Yes,Shot,41.860267,-87.71733,1,1,03:00:00,3,0,25
2014-09-06,22:00,23,M,B,"(41.8126311153173,-87.6083017140627)",2,Wentworth,Bronzeville,Grand Boulevard,http://www.chicagotribune.com/news/local/breaking/chi-chicago-shootings-20140907-story.html,Yes,Shot,41.8126311153173,-87.6083017140627,1,1,22:00:00,22,0,26
2014-09-20,18:50,21,M,B,"(41.890453,-87.726409)",11,Harrison,West Garfield Park,Humboldt Park,http://www.chicagotribune.com/news/local/breaking/chi-chicago-shootings-weekend-violence-20140920-story.html,Yes,Shot,41.890453,-87.726409,1,1,18:50:00,18,50,27
2014-10-18,1:00,24,M,B,"(41.77161,-87.657066)",7,Englewood,Englewood,West Englewood,http://www.chicagotribune.com/news/local/breaking/chi-boy-17-shot-on-south-side-20141017-story.html,Yes,Shot,41.77161,-87.657066,1,1,01:00:00,1,0,28
2014-11-08,19:30,21,M,W,"(41.9106202572584,-87.7325275540352)",25,Grand Central,Hermosa,Humboldt Park,http://www.chicagotribune.com/news/local/breaking/chi-chicago-shootings-20141108-story.html,Yes,Shot,41.9106202572584,-87.7325275540352,1,1,19:30:00,19,30,29
2013-02-03,16:28,31,M,W(H),"(41.838562,-87.728378)",010,Ogden,Little Village,South Lawndale,"http://www.chicagotribune.com/news/local/breaking/chi-man-wounded-in-little-village-dies-day-after-shooting-20130204,0,5305019.story",Yes,Shot,41.838562,-87.728378,1,1,16:28:00,16,28,30
2013-01-11,07:10,23,M,B,"(41.8751319497824,-87.7255377173424)",011,Harrison,East Garfield Park,West Garfield Park,http://articles.chicagotribune.com/2013-01-12/news/chi-police-one-slain-east-garfield-park-20130111_1_west-side-south-pulaski-road-marcus-wallace,Yes,Shot,41.8751319497824,-87.7255377173424,1,1,07:10:00,7,10,31
2013-01-10,18:15,39,M,B,"(41.766433,-87.574714)",003,Grand Crossing,South Shore,South Shore,"http://www.chicagotribune.com/news/local/breaking/chi-1-dead-1-wounded-in-south-side-attack-20130110,0,5964537.story",Yes,Shot,41.766433,-87.574714,1,1,18:15:00,18,15,32
2013-02-11,23:20,22,M,B,"(41.891578,-87.752487)",015,Austin,South Austin,Austin,"http://www.chicagotribune.com/news/local/breaking/chi-cops-investigating-death-of-man-found-with-apparent-stab-wounds-20130211,0,6971400.story",Yes,Stabbing,41.891578,-87.752487,1,1,23:20:00,23,20,33
2015-10-14,23:00,18,M,B,"(41.715926080942154, -87.6460363715887)",22,Morgan Park,Longwood Manor,Washington Heights,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20151014-story.html,Yes,Shot,41.715926080942154, -87.6460363715887,1,1,23:00:00,23,0,34
2015-10-16,7:30,32,M,B,"(41.784969329833984, -87.6525650024414)",7,Englewood,Englewood,Englewood,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20151015-story.html,,,41.784969329833984, -87.6525650024414,0,1,07:30:00,7,30,35
2015-10-18,16:25,19,F,B,"(41.75092315673828, -87.66917419433594)",6,Gresham,Gresham,Auburn Gresham,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20151018-story.html,Yes,Shot,41.75092315673828, -87.66917419433594,1,1,16:25:00,16,25,36
2015-10-19,19:25,20,M,,"(41.87679022550583, -87.74513997137547)",11,Harrison,West Garfield Park,Austin,http://www.chicagotribune.com/news/local/breaking/ct-shootings-violence-20151019-story.html,Yes,Shot,41.87679022550583, -87.74513997137547,1,1,19:25:00,19,25,37
2015-10-25,2:45,26,M,B,"(41.877763867378235, -87.73800395429134)",11,Harrison,West Garfield Park,West Garfield Park,,Yes,Shot,41.877763867378235, -87.73800395429134,1,1,02:45:00,2,45,38
2015-10-26,1:30,29,M,B,"(41.88046216964722, -87.74548664689064)",15,Austin,South Austin,Austin,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-20151025-story.html,Yes,Shot,41.88046216964722, -87.74548664689064,1,1,01:30:00,1,30,39
2015-11-07,2:50,56,M,B,"(41.90241241455078, -87.7260513305664)",11,Harrison,Humboldt Park,Humboldt Park,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20151106-story.html,Yes,Shot,41.90241241455078, -87.7260513305664,1,1,02:50:00,2,50,40
2015-11-22,14:50,20,M,B,"(41.765151992440224, -87.64943540096283)",7,Englewood,Englewood,Englewood,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-20151122-story.html,,,41.765151992440224, -87.64943540096283,0,1,14:50:00,14,50,41
2015-11-23,18:00,24,M,W(H),"(41.951365023851395, -87.76714414358139)",16,Jefferson Park,Portage Park,Portage Park,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-20151123-story.html,Yes,Shot,41.951365023851395, -87.76714414358139,1,1,18:00:00,18,0,42
2015-11-25,02:35,59,M,,"(41.790470123291016, -87.6502685546875)",7,Englewood,Englewood,Englewood,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-20151124-story.html,,,41.790470123291016, -87.6502685546875,0,1,02:35:00,2,35,43
2016-05-15,14:33,35,M,B,"(41.88092041015625, -87.7583999633789)",15,Austin,South Austin,Austin,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20160514-story.html,Yes,Shot,41.88092041015625, -87.7583999633789,1,1,14:33:00,14,33,44
2016-05-19,1:12,16,M,B,"(41.78313064575195, -87.60689544677734)",3,Grand Crossing,West Woodlawn,Woodlawn,http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-shootings-20160519-story.html,Yes,Shot,41.78313064575195, -87.60689544677734,1,1,01:12:00,1,12,45
2016-05-27,7:30,22,M,B,"(41.791839599609375, -87.62449645996094)",2,Wentworth,Washington Park,Washington Park,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20160527-story.html,Yes,Shot,41.791839599609375, -87.62449645996094,1,1,07:30:00,7,30,46
2016-05-30,23:00,39,M,B,"(41.99848937988281, -87.69444274902344)",24,Rogers Park,West Rogers Park,West Ridge,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-memorial-day-20160530-story.html,Yes,Shot,41.99848937988281, -87.69444274902344,1,1,23:00:00,23,0,47
2016-05-30,23:00,44,M,B,"(41.801589131355286, -87.61768743395805)",2,Wentworth,Washington Park,Washington Park,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-memorial-day-20160530-story.html,Yes,Shot,41.801589131355286, -87.61768743395805,1,1,23:00:00,23,0,48
2016-05-27,00:15,22,M,B,"(41.763145446777344, -87.65199279785156)",7,Englewood,Englewood,Englewood,http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-shootings-20160526-story.html,Yes,Stabbing,41.763145446777344, -87.65199279785156,1,1,00:15:00,0,15,49
2016-06-03,18:45,20,M,W(H),"(41.91740222275257, -87.70100757479668)",14,Shakespeare,Logan Square,Logan Square,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20160603-story.html,Yes,Shot,41.91740222275257, -87.70100757479668,1,1,18:45:00,18,45,50
2016-06-04,3:15,38,M,B,"(41.719333827495575, -87.6457641273737)",22,Morgan Park,Longwood Manor,Washington Heights,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20160603-story.html,Yes,Shot,41.719333827495575, -87.6457641273737,1,1,03:15:00,3,15,51
2016-05-10,17:50,20,M,B,"(41.7540283203125, -87.6517562866211)",6,Gresham,Gresham,Auburn Gresham,http://www.chicagotribune.com/news/local/breaking/ct-shooting-violence-20160510-story.html,Yes,Shot,41.7540283203125, -87.6517562866211,1,1,17:50:00,17,50,52
2016-05-13,11:55,47,M,B,"(41.79641179740429, -87.6209557056427)",2,Wentworth,Washington Park,Washington Park,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20160513-story.html,Yes,Shot,41.79641179740429, -87.6209557056427,1,1,11:55:00,11,55,53
2016-05-27,14:30,39,M,B,"(41.77212171256542, -87.65921674668789)",7,Englewood,Englewood,West Englewood,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20160527-story.html,Yes,Shot,41.77212171256542, -87.65921674668789,1,1,14:30:00,14,30,54
2016-06-05,00:50,21,M,B,"(41.75111770629883, -87.60310363769531)",6,Gresham,East Chatham,Chatham,http://www.chicagotribune.com/news/local/breaking/ct-2-shot-in-south-shore-20160604-story.html,Yes,Shot,41.75111770629883, -87.60310363769531,1,1,00:50:00,0,50,55
2016-06-04,2:50,35,M,B,"(41.88450241088867, -87.75556945800781)",15,Austin,South Austin,Austin,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20160603-story.html,Yes,Shot,41.88450241088867, -87.75556945800781,1,1,02:50:00,2,50,56
2016-06-02,22:50,35,M,,"(41.87294006347656, -87.71092987060547)",11,Harrison,Homan Square,East Garfield Park,http://www.chicagotribune.com/news/local/breaking/ct-2-men-wounded-in-south-side-shootings-20160602-story.html,Yes,Shot,41.87294006347656, -87.71092987060547,1,1,22:50:00,22,50,57
2016-06-18,20:20,33,M,B,"(41.75517685711384, -87.63568572700024)",6,Gresham,Gresham,Greater Grand Crossing,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20160618-story.html,Yes,Shot,41.75517685711384, -87.63568572700024,1,1,20:20:00,20,20,58
2016-12-27,17:08,23,M,B,"(41.7779354006052, -87.61563688516617)",3,Grand Crossing,Parkway Gardens,Greater Grand Crossing,http://www.chicagotribune.com/news/local/breaking/ct-shootings-violence-20161227-story.html,Yes,,41.7779354006052, -87.61563688516617,1,1,17:08:00,17,8,59
2016-12-28,20:48,32,M,B,"(41.78178405761719, -87.62004852294922)",3,Grand Crossing,Washington Park,Washington Park,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20161228-story.html,Yes,Shot,41.78178405761719, -87.62004852294922,1,1,20:48:00,20,48,60
2013-04-19,19:45,37,M,B,"(41.900566,-87.770797)",015,Austin,South Austin,Austin,"http://www.chicagotribune.com/news/local/breaking/chi-chicago-crime-gun-violence-20130419,0,1626891.story",Yes,Shot,41.900566,-87.770797,1,1,19:45:00,19,45,61
2013-05-01,01:20,23,M,B,"(41.853858,-87.713294)",010,Ogden,Little Village,North Lawndale,"http://www.chicagotribune.com/news/local/breaking/chi-at-least-8-wounded-in-separate-shootings-on-the-south-north-side-20130430,0,4341847.story",Yes,Shot,41.853858,-87.713294,1,1,01:20:00,1,20,62
2013-05-15,12:30,34,M,B,"(41.712753,-87.667976)",022,Morgan Park,Beverly,Beverly,"http://www.chicagotribune.com/news/local/breaking/chi-man-dies-month-after-being-shot-in-beverly-20130620,0,3991393.story",Yes,Shot,41.712753,-87.667976,1,1,12:30:00,12,30,63
2013-05-17,20:05,40,M,B,"(41.884895,-87.771377)",015,Austin,South Austin,Austin,http://articles.chicagotribune.com/2013-05-18/news/chi-man-fatally-shot-in-chatham-20130517_1_gunshot-wound-south-austin-two-men,Yes,Shot,41.884895,-87.771377,1,1,20:05:00,20,5,64
2013-06-08,00:00,24,M,B,"(41.884971,-87.713043)",011,Harrison,East Garfield Park,East Garfield Park,"http://www.chicagotribune.com/news/local/breaking/chi-chicago-shooting-violence-june-78-2-teens-shot-20130607,0,516577.story",Yes,Shot,41.884971,-87.713043,1,1,00:00:00,0,0,65
2013-06-21,19:50,36,M,W(H),"(41.933017,-87.709526)",014,Shakespeare,Logan Square,Avondale,"http://www.chicagotribune.com/news/local/breaking/chi-chicago-shootings-violence-june-21-to-22-20130621,0,3401521.story",,Shot,41.933017,-87.709526,0,1,19:50:00,19,50,66
2013-08-15,23:40,25,M,B,"(41.728664,-87.661979)",022,Morgan Park,Brainerd,Washington Heights,"http://www.chicagotribune.com/news/local/breaking/chi-man-shot-in-west-pullman-20130815,0,26452.story",Yes,Shot,41.728664,-87.661979,1,1,23:40:00,23,40,67
2013-08-16,21:50,75,M,B,"(41.792221,-87.655181)",007,Englewood,Englewood,West Englewood,"http://www.chicagotribune.com/news/local/breaking/chi-chicago-shootings-violence-aug-16-to-17-man-20130816,0,1678995.story",Yes,Beaten,41.792221,-87.655181,1,1,21:50:00,21,50,68
2013-08-27,18:30,53,M,W,"(41.951652,-87.761848)",016,Jefferson Park,Portage Park,Portage Park,"http://www.chicagotribune.com/news/local/breaking/chi-humboldt-park-shooting-wounds-man-20130827,0,7797478.story",Yes,Stabbing,41.951652,-87.761848,1,1,18:30:00,18,30,69
2013-08-28,20:00,35,M,B,"(41.745174,-87.594459)",004,South Chicago,Avalon Park,Avalon Park,"http://www.chicagotribune.com/news/local/breaking/chi-1-wounded-in-south-side-shooting-20130828,0,1807320.story",Yes,Shot,41.745174,-87.594459,1,1,20:00:00,20,0,70
2013-05-04,,47,F,B,"(41.762489,-87.664108)",007,Englewood,West Englewood,West Englewood,"http://www.chicagotribune.com/news/local/breaking/chi-womans-body-found-in-vacant-building-on-south-side-20130504,0,1163732.story",Yes,Stabbing,41.762489,-87.664108,1,1,,-1,-1,71
2013-05-05,16:10,16,M,B,"(41.8654679507017,-87.7201511710882)",010,Ogden,Lawndale,North Lawndale,"http://www.chicagotribune.com/news/local/breaking/authorities-boy-shot-police-20130506,0,1607419.story",Yes,Shot,41.8654679507017,-87.7201511710882,1,1,16:10:00,16,10,72
2013-06-15,20:50,21,M,W(H),"(41.845035,-87.718116)",010,Ogden,Little Village,South Lawndale,"http://www.chicagotribune.com/news/local/breaking/chi-chicago-crime-shooting-gun-violence-marquette-park,0,2169540.story",Yes,Shot,41.845035,-87.718116,1,1,20:50:00,20,50,73
2013-09-02,14:09,21,M,B,"(41.774242,-87.611541)",003,Grand Crossing,West Woodlawn,Woodlawn,"http://www.chicagotribune.com/news/local/breaking/chi-chicago-shootings-violence-sept-2-to-3-2-shot-in-separate-attacks-20130902,0,1271811.story",Yes,Shot,41.774242,-87.611541,1,1,14:09:00,14,9,74
2013-03-17,16:00,44,M,W(H),"(41.8736138194799,-87.7009452134371)",11,Harrison,Lawndale,East Garfield Park,"http://www.chicagotribune.com/news/local/ct-met-stray-bullet-killing-20130612,0,6345592.story",Yes,Shot,41.8736138194799,-87.7009452134371,1,1,16:00:00,16,0,75
2013-04-26,05:48,38,M,,"(41.681644,-87.639068)",005,Calumet,West Pullman,West Pullman,"http://www.chicagotribune.com/news/local/breaking/chi-chicago-shooting-west-pullman-20130426,0,2105204.story",Yes,Shot,41.681644,-87.639068,1,1,05:48:00,5,48,76
2013-05-13,22:15,27,M,B,"(41.725265532732,-87.6290318369865)",006,Gresham,Princeton Park,Roseland,"http://www.chicagotribune.com/news/local/breaking/chi-man-killed-in-restaurant-on-south-side-20130513,0,1196569.story",Yes,Shot,41.725265532732,-87.6290318369865,1,1,22:15:00,22,15,77
2013-05-17,23:25,27,F,B,None,010,Ogden,Lawndale,North Lawndale,"http://www.chicagotribune.com/news/local/breaking/chi-woman-dies-8-days-after-shooting-at-prom-party-20130525,0,759289.story",,Shot,None,,0,1,23:25:00,23,25,78
2013-05-18,03:55,27,M,B,"(41.896575,-87.746726)",015,Austin,South Austin,Austin,http://articles.chicagotribune.com/2013-05-18/news/chi-man-fatally-shot-in-chatham-20130517_1_gunshot-wound-south-austin-two-men,Yes,Shot,41.896575,-87.746726,1,1,03:55:00,3,55,79
2013-05-22,15:20,22,M,B,"(41.764209,-87.680328)",008,Chicago Lawn,West Englewood,Chicago Lawn,"http://www.chicagotribune.com/news/local/breaking/chi-2-found-dead-in-trunk-in-west-englewood-20130522,0,74357.story",Yes,,41.764209,-87.680328,1,1,15:20:00,15,20,80
2013-05-22,15:20,30,M,B,"(41.764209,-87.680328)",008,Chicago Lawn,West Englewood,Chicago Lawn,"http://www.chicagotribune.com/news/local/breaking/chi-2-found-dead-in-trunk-in-west-englewood-20130522,0,74357.story",Yes,,41.764209,-87.680328,1,1,15:20:00,15,20,81
2013-05-25,01:30,29,M,B,"(41.8010272085667,-87.5901760160923)",002,Wentworth,Hyde Park,Hyde Park,"http://www.chicagotribune.com/news/local/breaking/chi-chicago-shootings-memorial-day-weekend-20130525,0,1029881.story",Yes,Shot,41.8010272085667,-87.5901760160923,1,1,01:30:00,1,30,82
2013-05-29,13:00,27,M,B,"(41.672229,-87.642097)",005,Calumet,West Pullman,West Pullman,"http://www.chicagotribune.com/news/local/breaking/chi-chicago-shootings-violence-2-shot-on-far-south-side-20130529,0,6107595.story",Yes,Shot,41.672229,-87.642097,1,1,13:00:00,13,0,83
2013-06-26,21:50,31,M,B,"(41.75711,-87.642105)",006,Gresham,Gresham,Englewood,"http://www.chicagotribune.com/news/local/breaking/chi-man-31-killed-on-gresham-street-20130626,0,2792617.story?track=rss",Yes,Shot,41.75711,-87.642105,1,1,21:50:00,21,50,84
2013-06-28,02:39,5,M,B,"(41.796592,-87.673492)",009,Deering,Back of the Yards,New City,"http://www.chicagotribune.com/news/local/breaking/chi-chicago-shootings-violence-june-27-to-28-20130628,0,6083915.story",Yes,Shot,41.796592,-87.673492,1,1,02:39:00,2,39,85
2013-06-28,02:39,31,F,B,"(41.796592,-87.673492)",009,Deering,Back of the Yards,New City,"http://www.chicagotribune.com/news/local/breaking/chi-chicago-shootings-violence-june-27-to-28-20130628,0,6083915.story",Yes,Shot,41.796592,-87.673492,1,1,02:39:00,2,39,86
2013-06-29,04:00,28,M,B,"(41.682235,-87.626129)",005,Calumet,Roseland,Roseland,"http://www.chicagotribune.com/news/local/breaking/chi-fire-department-reports-5-shot-in-uptown-20130628,0,2331328.story",Yes,Shot,41.682235,-87.626129,1,1,04:00:00,4,0,87
2013-07-02,05:50,23,M,B,"(41.71392,-87.643417)",022,Morgan Park,Washington Heights,Washington Heights,"http://www.chicagotribune.com/news/local/breaking/chi-man-shot-dead-in-washington-heights-neighborhood-20130702,0,7593410.story",Yes,Shot,41.71392,-87.643417,1,1,05:50:00,5,50,88
2013-07-03,13:15,26,M,B,"(41.734367,-87.657791)",006,Gresham,Gresham,Gresham,"http://www.chicagotribune.com/news/local/breaking/chi-police-person-shot-in-gresham-20130703,0,6593800.story",Yes,Shot,41.734367,-87.657791,1,1,13:15:00,13,15,89
2013-08-31,11:19,33,M,B,"(41.680496,-87.67324)",022,Morgan Park,Morgan Park,Morgan Park,"http://www.chicagotribune.com/news/local/breaking/chi-man-shot-dead-in-gangway-on-far-south-side-20130831,0,2613951.story",Yes,Shot,41.680496,-87.67324,1,1,11:19:00,11,19,90
2013-07-19,21:30,20,M,W(H),"(41.9063635915518,-87.7217048406601)",025,Grand Central,Humboldt Park,Humboldt Park,"http://www.chicagotribune.com/news/local/breaking/chi-girl-shot-in-chest-on-far-south-side-20130719,0,4527420.story",Yes,Shot,41.9063635915518,-87.7217048406601,1,1,21:30:00,21,30,91
2014-05-16,4:46,38,M,W(H),"(41.910686,-87.754814)",25,Grand Central,North Austin,Austin,"http://www.chicagotribune.com/news/local/breaking/chi-chicago-shootings-woman-2-teens-shot-20140515,0,7127031.story",Yes,Assault,41.910686,-87.754814,1,1,04:46:00,4,46,92
2013-06-21,16:20,56,M,B,"(41.889141,-87.619453)",018,Near North,Streeterville,Near North Side,"http://www.chicagotribune.com/news/local/breaking/chi-man-woman-found-dead-in-downtown-hotel-20130621,0,6209501.story",,Shot,41.889141,-87.619453,0,1,16:20:00,16,20,93
2013-08-13,00:15,5,F,,"(41.840335,-87.732078)",010,Ogden,Little Village,South Lawndale,"http://www.chicagotribune.com/news/local/breaking/chi-little-village-shooting-20130812,0,1554528.story",Yes,Shot,41.840335,-87.732078,1,1,00:15:00,0,15,94
2013-08-13,00:15,28,F,,"(41.840335,-87.732078)",010,Ogden,Little Village,South Lawndale,"http://www.chicagotribune.com/news/local/breaking/chi-little-village-shooting-20130812,0,1554528.story",Yes,Shot,41.840335,-87.732078,1,1,00:15:00,0,15,95
2014-08-06,7:35,18,M,B,"(41.795066,-87.662528)",9,Deering,Back of the Yards,New City,http://www.chicagotribune.com/news/local/breaking/chi-male-victim-killed-in-south-side-shooting-20140806-story.html,Yes,Shot,41.795066,-87.662528,1,1,07:35:00,7,35,96
2014-08-12,23:30,17,M,B,"(41.6556615382433,-87.6051957160234)",5,Calumet,Golden Gate,Riverdale,http://www.chicagotribune.com/news/local/breaking/chi-boy-17-fatally-shot-on-south-side-20140812-story.html,No,Shot,41.6556615382433,-87.6051957160234,0,1,23:30:00,23,30,97
