DATE,TIME,AGE,SEX,RACE,GEOCODE_OVERRIDE,DISTRICT_NUM,DISTRICT_NAME,NEIGHBORHOOD_NAME,COMMUNITY_NAME,LINK,MURDER,PUB_CAUSE,LAT,LNG,IS_MURDER,IS_FATAL,HOUR,HOUR_HH,MINUTES_MM,ID
2015-07-18,4:30,29,M,B,"(41.75822067260742, -87.63533782958984)",7,Englewood,Englewood,Englewood,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20150717-story.html#page=1,Yes,Shot,41.75822067260742, -87.63533782958984,1,1,04:30:00,4,30,863
2015-07-30,3:40,21,M,W,"(41.67595446109772, -87.61658303439617)",5,Calumet,West Pullman,West Pullman,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20150729-story.html,Yes,Shot,41.67595446109772, -87.61658303439617,1,1,03:40:00,3,40,864
2015-08-02,1:03,22,M,B,"(41.904808044433594, -87.74690246582031)",25,Grand Central,North Austin,Austin,http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-shootings-20150801-story.html#page=1,Yes,Shot,41.904808044433594, -87.74690246582031,1,1,01:03:00,1,3,865
2014-10-04,21:20,21,M,W,None,9,Deering,Gage Park,Gage Park,http://www.chicagotribune.com/news/local/breaking/chi-autopsy-man-shot-over-weekend-died-of-gunshot-wound-to-head-20141008-story.html,Yes,Shot,None,,1,1,21:20:00,21,20,866
2015-08-05,6:00,21,M,B,"(41.756656646728516, -87.67296600341797)",6,Gresham,Gresham,Auburn Gresham,http://www.chicagotribune.com/news/local/breaking/ct-chicago-gun-violence-20150804-story.html,Yes,Shot,41.756656646728516, -87.67296600341797,1,1,06:00:00,6,0,867
2015-08-09,23:05,27,M,B,"(41.860450744628906, -87.73269653320312)",10,Ogden,Lawndale,North Lawndale,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20150809-story.html,Yes,Shot,41.860450744628906, -87.73269653320312,1,1,23:05:00,23,5,868
2015-08-07,2:45,31,M,B,"(41.681609228253365, -87.61969707906246)",5,Calumet,West Pullman,West Pullman,http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-shootings-20150806-story.html,Yes,Shot,41.681609228253365, -87.61969707906246,1,1,02:45:00,2,45,869
2015-08-02,5:00,20,M,B,"(41.680744, -87.626029)",5,Calumet,West Pullman,West Pullman,http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-shootings-20150801-story.html#page=1,Yes,Shot,41.680744, -87.626029,1,1,05:00:00,5,0,870
2015-08-11,22:55,20,M,B,"(41.65723331272602, -87.60255441069603)",5,Calumet,Altgeld Gardens,Riverdale,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20150811-story.html,Yes,Shot,41.65723331272602, -87.60255441069603,1,1,22:55:00,22,55,871
2015-08-14,18:30,19,M,B,"(41.878858879208565, -87.72937193512917)",11,Harrison,West Garfield Park,West Garfield Park,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20150814-story.html,Yes,Shot,41.878858879208565, -87.72937193512917,1,1,18:30:00,18,30,872
2015-08-17,21:30,37,M,W,"(41.87954330444336, -87.72251892089844)",11,Harrison,East Garfield Park,West Garfield Park,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20150817-story.html,Yes,Shot,41.87954330444336, -87.72251892089844,1,1,21:30:00,21,30,873
2015-08-22,4:53,34,M,,"(41.797088623046875, -87.76766967773438)",8,Chicago Lawn,Garfield Ridge,Garfield Ridge,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20150821-story.html,Yes,Shot,41.797088623046875, -87.76766967773438,1,1,04:53:00,4,53,874
2015-08-13,3:10,30,M,B,"(41.72490879893303, -87.63008259236813)",6,Gresham,Princeton Park,Roseland,http://www.chicagotribune.com/news/local/breaking/ct-shootings-violence-chicago-20150812-story.html,Yes,Shot,41.72490879893303, -87.63008259236813,1,1,03:10:00,3,10,875
2015-08-23,6:00,28,M,W(H),"(41.90894119441509, -87.72274754941463)",25,Grand Central,Humboldt Park,Humboldt Park,http://www.chicagotribune.com/news/local/breaking/ct-1-wounded-in-back-of-the-yards-shooting-20150822-story.html,Yes,Shot,41.90894119441509, -87.72274754941463,1,1,06:00:00,6,0,876
2015-08-15,3:05,50,M,B,"(41.78593826293945, -87.66525268554688)",7,Englewood,West Englewood,West Englewood,,Yes,Shot,41.78593826293945, -87.66525268554688,1,1,03:05:00,3,5,877
2015-08-25,18:00,25,M,B,"(41.80402755737305, -87.59160614013672)",2,Wentworth,Kenwood,Kenwood,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20150825-story.html,Yes,Shot,41.80402755737305, -87.59160614013672,1,1,18:00:00,18,0,878
2015-08-29,23:05,44,M,B,"(41.78367233276367, -87.65738677978516)",7,Englewood,Englewood,West Englewood,http://www.chicagotribune.com/news/local/breaking/ct-chicago-gun-shooting-violence-20150829-story.html,Yes,Shot,41.78367233276367, -87.65738677978516,1,1,23:05:00,23,5,879
2015-08-31,21:35,25,M,B,"(41.88867950439453, -87.7520523071289)",15,Austin,South Austin,Austin,http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-20150831-story.html,Yes,Shot,41.88867950439453, -87.7520523071289,1,1,21:35:00,21,35,880
2015-09-02,00:20,25,M,B,"(41.872249603271484, -87.69441223144531)",11,Harrison,Lawndale,East Garfield Park,http://www.chicagotribune.com/news/local/breaking/ct-person-wounded-in-shooting-in-south-shore-20150902-story.html,Yes,Shot,41.872249603271484, -87.69441223144531,1,1,00:20:00,0,20,881
